501 ms: 19 , is eating
501 ms: 15 , is eating
501 ms: 43 , has taken a fork
501 ms: 43 , is eating
501 ms: 13 , has taken a fork
501 ms: 13 , is eating
601 ms: 8 , is thinking
601 ms: 18 , is thinking
601 ms: 10 , is thinking
601 ms: 30 , is thinking
601 ms: 38 , is thinking
601 ms: 24 , is thinking
601 ms: 28 , is thinking
601 ms: 22 , is thinking
601 ms: 16 , is thinking
601 ms: 42 , is thinking
601 ms: 2 , is thinking
601 ms: 12 , is thinking
601 ms: 46 , is thinking
601 ms: 32 , is thinking
601 ms: 20 , is thinking
601 ms: 34 , is thinking
601 ms: 36 , is thinking
601 ms: 48 , is thinking
601 ms: 50 , is thinking
601 ms: 6 , is thinking
601 ms: 40 , is thinking
601 ms: 14 , is thinking
601 ms: 26 , is thinking
601 ms: 44 , is thinking
601 ms: 4 , is thinking
700 ms: 1 , is sleeping
701 ms: 7 , is sleeping
701 ms: 49 , is sleeping
701 ms: 8 , has taken a fork
701 ms: 8 , is eating
701 ms: 5 , is sleeping
701 ms: 11 , is sleeping
701 ms: 43 , is sleeping
701 ms: 46 , has taken a fork
701 ms: 16 , has taken a fork
701 ms: 47 , is sleeping
701 ms: 33 , is sleeping
701 ms: 15 , is sleeping
701 ms: 39 , is sleeping
701 ms: 38 , has taken a fork
701 ms: 23 , is sleeping
701 ms: 22 , has taken a fork
701 ms: 22 , is eating
701 ms: 6 , has taken a fork
701 ms: 6 , is eating
701 ms: 31 , is sleeping
701 ms: 32 , has taken a fork
701 ms: 32 , is eating
701 ms: 45 , is sleeping
701 ms: 9 , is sleeping
701 ms: 3 , is sleeping
701 ms: 16 , is eating
701 ms: 4 , has taken a fork
701 ms: 4 , is eating
701 ms: 37 , is sleeping
701 ms: 2 , has taken a fork
701 ms: 2 , is eating
701 ms: 38 , is eating
701 ms: 19 , is sleeping
701 ms: 35 , is sleeping
701 ms: 10 , has taken a fork
701 ms: 10 , is eating
701 ms: 18 , has taken a fork
701 ms: 18 , is eating
701 ms: 20 , has taken a fork
701 ms: 20 , is eating
701 ms: 50 , has taken a fork
701 ms: 50 , is eating
701 ms: 21 , is sleeping
701 ms: 48 , has taken a fork
701 ms: 48 , is eating
701 ms: 36 , has taken a fork
701 ms: 36 , is eating
701 ms: 44 , has taken a fork
701 ms: 44 , is eating
701 ms: 46 , is eating
701 ms: 17 , is sleeping
701 ms: 13 , is sleeping
701 ms: 12 , has taken a fork
701 ms: 12 , is eating
701 ms: 14 , has taken a fork
701 ms: 14 , is eating
701 ms: 41 , is sleeping
701 ms: 34 , has taken a fork
701 ms: 40 , has taken a fork
701 ms: 25 , is sleeping
701 ms: 24 , has taken a fork
701 ms: 24 , is eating
701 ms: 27 , is sleeping
701 ms: 42 , has taken a fork
701 ms: 26 , has taken a fork
701 ms: 34 , is eating
701 ms: 30 , has taken a fork
701 ms: 40 , is eating
701 ms: 28 , has taken a fork
701 ms: 26 , is eating
701 ms: 30 , is eating
701 ms: 29 , is sleeping
701 ms: 28 , is eating
701 ms: 42 , is eating
900 ms: 1 , is thinking
901 ms: 13 , is thinking
901 ms: 44 , is sleeping
901 ms: 15 , is thinking
901 ms: 29 , is thinking
901 ms: 32 , is sleeping
901 ms: 28 , is sleeping
901 ms: 20 , is sleeping
901 ms: 3 , is thinking
901 ms: 2 , is sleeping
901 ms: 43 , is thinking
901 ms: 14 , is sleeping
901 ms: 19 , is thinking
901 ms: 12 , is sleeping
901 ms: 26 , is sleeping
901 ms: 35 , is thinking
901 ms: 38 , is sleeping
901 ms: 5 , is thinking
901 ms: 27 , is thinking
901 ms: 7 , is thinking
901 ms: 16 , is sleeping
901 ms: 21 , is thinking
901 ms: 31 , is thinking
901 ms: 50 , is sleeping
901 ms: 11 , is thinking
901 ms: 46 , is sleeping
901 ms: 42 , is sleeping
901 ms: 49 , is thinking
